Titre,Prix
Is Everyone Hanging Out Without Me? (And Other Concerns),Â20.11
Gone Girl,Â37.60
Fellside,Â38.62
Eclipse (Twilight #3),Â18.74
Dracula,Â52.62
Dead Wake: The Last Crossing of the Lusitania,Â39.24
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Â17.81
Dark Places,Â23.90
Breaking Dawn (Twilight #4),Â35.28
Beautiful Creatures (Caster Chronicles #1),Â21.55
A Visit from the Goon Squad,Â14.08
The Zombie Room,Â19.69
The Name of the Wind (The Kingkiller Chronicle #1),Â50.59
Taking Shots (Assassins #1),Â18.88
Shatter Me (Shatter Me #1),Â42.40
Paradise Lost (Paradise #1),Â24.96
On the Road (Duluoz Legend),Â32.36
Jane Eyre,Â38.43
Frankenstein,Â38.00
